Name;Value
Foliage;Evergreen
P50_VC_Leaf;  -4.84
slope_VC_Leaf;41.5
P50_VC_Stem;  -4.84
slope_VC_Stem;41.5
P12_gs;-1
P88_gs; -2.4
epsilonSym_Leaf;6
PiFullTurgor_Leaf;-1.7
apoFrac_Leaf;0.68
LDMC;500
LMA;300
k_PlantInit;0.8
k_SSymInit;0.26
canopyStorageParam;1.5
K;0.5
Tbase;3
Fcrit;450
PTcoeff;1.14
gmin20;2
TPhase_gmin;37.5
Q10_1_gmin;1.2
Q10_2_gmin;4.8
gmin_S;2
gCrown0;200
gsMax;300
gsNight;20
JarvisPAR;0.003
Tgs_sens;17
Tgs_optim;25
fRootToLeaf;1
rootRadius;0.0002
betaRootProfile;0.99 
PiFullTurgor_Stem;-1.7
epsilonSym_Stem; 6
apoFrac_Stem;0.68
symFrac_Stem;0.2
vol_Stem;10
fTRBToLeaf;0.8
C_LApoInit;0.00001
C_SApoInit;0.00002
turgorPressureAtGsMax;2
PsiStartClosing;-1
PsiClose;-3.3
dayStart;5
nbdayLAI;15